rank,qid,well_posedness,ci_lo,ci_hi,within_participant_var,human_pass_rate,pct_answerable,between_participant_var,question
1,Q01,0.684,0.585,0.781,0.079,0.84,0.58,0.165,What specific AI tools does this participant mention using in their work?
2,Q24,0.763,0.684,0.838,0.0593,0.32,0.42,0.184,"What does this participant describe about how they prefer to communicate with AI (e.g., chat vs structured prompts vs voice)?"
3,Q15,0.826,0.743,0.901,0.0435,0.7,0.78,0.128,"What tasks or responsibilities, if any, does this participant explicitly say should be done by humans rather than AI, regardless of whether AI is capable of doing them?"
4,Q10,0.832,0.749,0.907,0.042,0.54,0.77,0.137,"Does this participant describe being frustrated by AI tools, and if so, in what context?"
5,Q19,0.876,0.808,0.939,0.0311,0.72,0.54,0.217,What AI capabilities does this participant wish existed but don't yet?
6,Q23,0.876,0.812,0.935,0.0311,0.78,0.31,0.182,"After AI generates an output, how does this participant pass it into a non-AI tool, document, or system to continue their workflow?"
7,Q06,0.885,0.83,0.937,0.0286,0.78,0.67,0.192,"What specific action, if any, does this participant take to check that AI's output is correct or trustworthy before using it?"
8,Q18,0.899,0.83,0.957,0.0252,0.64,0.44,0.221,"Does this participant raise broader societal, economic, or ethical concerns about generative AI?"
9,Q22,0.917,0.858,0.966,0.0207,0.62,0.84,0.112,"What does this participant do, if anything, in follow-up prompts to AI to refine the output toward what they need?"
10,Q14,0.919,0.86,0.972,0.0202,0.74,0.71,0.187,Does this participant express concern about AI displacing their job or profession?
11,Q08,0.927,0.87,0.974,0.0183,0.68,0.93,0.05,What positive emotions or sources of satisfaction does this participant express about working with AI?
12,Q11,0.929,0.876,0.972,0.0178,0.88,0.68,0.199,How does this participant describe their colleagues' or workplace's attitudes toward AI use?
13,Q12,0.935,0.877,0.982,0.0163,0.8,0.15,0.11,"Does this participant describe encountering social stigma, judgment, or perceived ""laziness"" around using AI at work?"
14,Q09,0.943,0.889,0.986,0.0143,0.3,0.84,0.117,"What concerns does this participant raise about how AI performs on their work tasks â its accuracy, reliability, or the quality of its output?"
15,Q17,0.945,0.893,0.984,0.0138,0.82,0.87,0.102,How does this participant envision their personal use of AI evolving in the next few years?
16,Q05,0.951,0.909,0.984,0.0123,0.86,0.59,0.23,"Has this participant encountered AI making factual errors, hallucinating, or producing incorrect output? If so, in what context?"
17,Q16,0.98,0.941,1.0,0.0049,0.96,0.25,0.183,Has this participant considered shifting their role toward managing or overseeing AI systems?
18,Q04,0.982,0.947,1.0,0.0044,0.8,0.99,0.002,"Are there tasks this participant prefers to keep doing themselves rather than delegate to AI? If so, which?"
19,Q02,1.0,1.0,1.0,0.0,0.76,1.0,0.0,What kinds of work tasks does this participant use AI for?
20,Q03,1.0,1.0,1.0,0.0,0.81,1.0,0.0,"Does this participant describe using AI to augment their own work, or to automate/delegate tasks entirely?"
21,Q13,1.0,1.0,1.0,0.0,0.96,0.14,0.12,"What concerns, if any, does this participant raise about privacy, data security, or sharing confidential information with AI?"
22,Q20,1.0,1.0,1.0,0.0,0.84,1.0,0.0,"What is this participant's overall stance toward AI in their work â enthusiastic, cautious, conflicted, resistant, or other?"
23,Q21,1.0,1.0,1.0,0.0,0.98,1.0,0.0,What is this participant's occupation or job role?
